Transparent|透明|Transparent|Unsichtbar (erfordert Passierbarkeit = Stern, wenn in B-Slot)|Transparente
Fortress City |城塞都市|Cité fortifiée|Festungsstadt|Ciudad Fortificada
Fortress City (Snow)|城塞都市（雪）|Cité fortifiée (neige)|Festungsstadt (verschneit)|Ciudad Fortificada (Nieve)
Fortress City (Snow)|城塞都市（雪）|Cité fortifiée (neige)|Festungsstadt (verschneit)|Ciudad Fortificada (Nieve)
Large Mansion|大きな屋敷|Grande demeure|große Villa|Mansión
Large Mansion|大きな屋敷|Grande demeure|große Villa|Mansión
School of Magic|魔法学校|École de magie|Schule für Magie|Escuela de Magia
School of Magic|魔法学校|École de magie|Schule für Magie|Escuela de Magia
Fortress City |城塞都市|Cité fortifiée|Festungsstadt|Ciudad Fortificada
Fortress City |城塞都市|Cité fortifiée|Festungsstadt|Ciudad Fortificada
Fortress City (Snow)|城塞都市（雪）|Cité fortifiée (neige)|Festungsstadt (verschneit)|Ciudad Fortificada (Nieve)
Fortress City (Snow)|城塞都市（雪）|Cité fortifiée (neige)|Festungsstadt (verschneit)|Ciudad Fortificada (Nieve)
Large Mansion|大きな屋敷|Grande demeure|große Villa|Mansión
Large Mansion|大きな屋敷|Grande demeure|große Villa|Mansión
School of Magic|魔法学校|École de magie|Schule für Magie|Escuela de Magia
School of Magic|魔法学校|École de magi|Schule für Magie|Escuela de Magia
Bridge (H)|橋（横）|Pont (H)|Brücke (H)|Puente (H)
Bridge (V)|橋（縦）|Pont (V)|Brücke (V)|Puente (V)
Collapsed Bridge (H)|崩れた橋（横）|Pont effondré (H)|eingestürzte Brücke (H)|Puente Colapsado (H)
Collapsed Bridge (V)|崩れた橋（縦）|Pont effondré (V)|eingestürzte Brücke (V)|Puente Colapsado (V)
Bridge (Snow, H)|橋（雪・横）|Pont (neige, H) |Brücke (verschneit, H)|Puente (Nieve, H)
Bridge (Snow, V)|橋（雪・縦）|Pont (neige, V)|Brücke (verschneit, V)|Puente (Nieve, V)
Collapsed Bridge (H)|崩れた橋（横）|Pont brisé (H)|eingestürzte Brücke (verschneit, H)|Puente Colapsado (H)
Collapsed Bridge (V)|崩れた橋（縦）|Pont brisé (V)|eingestürzte Brücke (verschneit, V)|Puente Colapsado (V)
Tower|塔|Tour|Turm|Torre
Tower (Ruins)|塔（廃墟）|Tour (ruines)|Turmruine|Torre (Ruinas)
Tower|塔|Tour|Turm|Torre
Tower|塔|Tour|Turm|Torre
Tower (Snow)|塔（雪）|Tour (neige)|Turm (verschneit)|Torre (Nieve)
Tower|塔|Tour|kleiner Turm|Torre
Temple|神殿|Temple|Tempel|Templo
Temple (Snow)|神殿（雪）|Temple (neige)|Tempel (verschneit)|Templo (Nieve)
Tower|塔|Tour|Turm|Torre
Tower (Ruins)|塔（廃墟）|Tour (ruines)|Turmruine|Torre (Ruinas)
Tower|塔|Tour|Turm|Torre
Tower|塔|Tour|Turm|Torre
Tower (Snow)|塔（雪）|Tour (neige)|Turm (verschneit)|Torre (Nieve)
Tower (Ruins)|塔（廃墟）|Tour (ruines)|kleine Turmruine|Torre (Ruinas)
Temple|神殿|Temple|Tempel|Templo
Temple|神殿|Temple|Tempel|Templo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Fort|砦|Fort|Festung|Fuerte
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle|城|Château|Schloss|Castillo
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Ruins)|城（廃墟）|Château (ruines)|Schlossruine|Castillo (Ruinas)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Fort (Snow)|砦（雪）|Fort (neige)|Festung (verschneit)|Fuerte (Nieve)
Fort (Snow)|砦（雪）|Fort (neige)|Festung (verschneit)|Fuerte (Nieve)
Castle (Ruins, Snow)|城（廃墟・雪）|Château (ruines, neige)|Schlossruine (verschneit)|Castillo (Ruinas, Nieve)
Castle (Ruins, Snow)|城（廃墟・雪）|Château (ruines, neige)|Schlossruine (verschneit)|Castillo (Ruinas, Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Castle (Snow)|城（雪）|Château (neige)|Schloss (verschneit)|Castillo (Nieve)
Fort (Snow)|砦（雪）|Fort (neige)|Festung (verschneit)|Fuerte (Nieve)
Fort (Snow)|砦（雪）|Fort (neige)|Festung (verschneit)|Fuerte (Nieve)
Castle (Ruins, Snow)|城（廃墟・雪）|Château (ruines, neige)|Schlossruine (verschneit)|Castillo (Ruinas, Nieve)
Castle (Ruins, Snow)|城（廃墟・雪）|Château (ruines, neige)|Schlossruine (verschneit)|Castillo (Ruinas, Nieve)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Demon Castle|魔王城|Château démoniaque|Dämonenschloss|Castillo Demoníaco
Demon Castle|魔王城|Château démoniaque|Dämonenschloss|Castillo Demoníaco
Cursed Castle|呪われた城|Château maudit|verfluchtes Schloss|Castillo Maldito
Cursed Castle|呪われた城|Château maudit|verfluchtes Schloss|Castillo Maldito
Town C (Ruins)|町C（廃墟）|Ville C (ruines)|Stadt C (Ruinen)|Pueblo C (Ruinas)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Demon Castle|魔王城|Château démoniaque|Dämonenschloss|Castillo Demoníaco
Demon Castle|魔王城|Château démoniaque|Dämonenschloss|Castillo Demoníaco
Cursed Castle|呪われた城|Château maudit|verfluchtes Schloss|Castillo Maldito
Cursed Castle|呪われた城|Château maudit|verfluchtes Schloss|Castillo Maldito
Town F (Ruins)|町F（廃墟）|Ville F (ruines)|Dorf F (Ruinen)|Pueblo F (Ruinas)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Castle (Walled)|城（城壁）|Château (fortifié)|Schloss mit Mauerwall|Castillo (Amurallado)
Town A (Ruins)|町A（廃墟）|Ville A (ruines)|Stadt A (Ruine)|Pueblo A (Ruinas)
Town A (Ruins)|町A（廃墟）|Ville A (ruines)|Stadt A (Ruine)|Pueblo A (Ruinas)
Village A (Ruins)|村A（廃墟）|Village A (ruines)|Dorf A (Ruine)|Aldea A (Ruinas)
Village A (Ruins)|村A（廃墟）|Village A (ruines)|Dorf A (Ruine)|Aldea A (Ruinas)
House (Ruins)|家（廃墟）|Maison (ruines)|Haus (Ruine)|Casa (Ruinas)
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall (Gate)|城壁（城門）|Rempart (porte)|Mauerwall (Durchgang)|Muralla (Puerta)
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Barricades|バリケード|Barricades|Barrikaden|Barricadas
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Castle Wall|城壁|Rempart|Mauerwall|Muralla
Lookout Post|やぐら|Tour de guet|Wachposten|Puesto de Vigilancia
Floating Continent (Giant Tree)|浮遊大陸（大樹）|Continent flottant (arbre géant)|schwebende Insel (gigantischer Baum)|Continente Flotante (Árbol Gigante)
Floating Continent (Giant Tree)|浮遊大陸（大樹）|Continent flottant (arbre géant)|schwebende Insel (gigantischer Baum)|Continente Flotante (Árbol Gigante)
Floating Continent|浮遊大陸|Continent flottant|schwebende Insel|Continente Flotante
Floating Continent|浮遊大陸|Continent flottant|schwebende Insel|Continente Flotante
Floating Continent (Cloud)|浮遊大陸（雲）|Continent flottant (nuage)|schwebende Insel (in Wolken versteckt)|Continente Flotante (Nube)
Floating Continent (Cloud)|浮遊大陸（雲）|Continent flottant (nuage)|schwebende Insel (in Wolken versteckt)|Continente Flotante (Nube)
Cloud Land|雲の大地|Plaine de nuage|große Wolken|Nube
Cloud Land|雲の大地|Plaine de nuage|große Wolken|Nube
Floating Continent (Castle)|浮遊大陸（城）|Continent flottant (château)|schwebende Insel (Schloss)|Continente Flotante (Castillo)
Floating Continent (Castle)|浮遊大陸（城）|Continent flottant (château)|schwebende Insel (Schloss)|Continente Flotante (Castillo)
Floating Continent|浮遊大陸|Continent flottant|schwebende Insel (Unterseite)|Continente Flotante
Floating Continent|浮遊大陸|Continent flottant|schwebende Insel (Unterseite)|Continente Flotante
Floating Continent (Cloud)|浮遊大陸（雲）|Continent flottant (nuage)|schwebende Insel (Unterseite, in Wolken versteckt)|Continente Flotante (Nube)
Floating Continent (Cloud)|浮遊大陸（雲）|Continent flottant (nuage)|schwebende Insel (Unterseite, in Wolken versteckt)|Continente Flotante (Nube)
Cloud Land|雲の大地|Plaine de nuage|große Wolken|Nube
Cloud Land|雲の大地|Plaine de nuage|große Wolken|Nube
Floating Continent (Temple)|浮遊大陸（神殿）|Continent flottant (temple)|schwebende Insel (Tempel)|Continente Flotante (Templo)
Floating Continent (Temple)|浮遊大陸（神殿）|Continent flottant (temple)|schwebende Insel (Tempel)|Continente Flotante (Templo)
Floating Continent (Shadow)|浮遊大陸（影）|Continent flottant (ombre)|schwebende Insel (Bodenschatten)|Continente Flotante (Sombra)
Floating Continent (Shadow)|浮遊大陸（影）|Continent flottant (ombre)|schwebende Insel (Bodenschatten)|Continente Flotante (Sombra)
Cloud Land (Temple)|雲の大地（神殿）|Plaine de nuage (temple)|schwebende Insel (Tempel, in Wolken versteckt)|Nube (Templo)
Cloud Land (Temple)|雲の大地（神殿）|Plaine de nuage (temple)|schwebende Insel (Tempel, in Wolken versteckt)|Nube (Templo)
Cloud Land (Castle)|雲の大地（城）|Plaine de nuage (château)|schwebende Insel (Schloss, in Wolken versteckt)|Nube (Castillo)
Cloud Land (Castle)|雲の大地（城）|Plaine de nuage (château)|schwebende Insel (Schloss, in Wolken versteckt)|Nube (Castillo)
